3-Way-Handshake,三次握手,Der 3-Way-Handshake baut eine TCP-Verbindung mit drei Kontrollnachrichten auf.（三次握手用三条控制消息建立 TCP 连接。）
Abgabe,提交/交作业,Die Abgabe erfolgt häufig über Moodle oder ein Übungssystem.（作业提交通常通过 Moodle 或练习系统完成。）
Ablauf,流程/执行过程,Der Ablauf eines Protokolls kann mit einem Diagramm beschrieben werden.（协议流程可以用图表示。）
Abtastintervall,采样间隔,Das Abtastintervall bestimmt den zeitlichen Abstand zweier Proben.（采样间隔决定两次采样之间的时间距离。）
Abtastrate,采样率,Die Abtastrate gibt an wie oft ein Signal pro Sekunde abgetastet wird.（采样率表示每秒对信号采样多少次。）
Abtasttheorem,采样定理,Das Abtasttheorem legt die notwendige Abtastrate für ein Signal fest.（采样定理给出信号所需的采样率条件。）
ACK,确认,A ACK bestätigt den korrekten Empfang eines Segments.（ACK 表示某个报文段已被正确接收。）
AckNr,确认号,Die AckNr gibt die nächste erwartete Sequenznummer an.（确认号表示接收方下一步期望收到的序列号。）
Adressauflösung,地址解析,Adressauflösung ermittelt zu einer IP-Adresse die passende MAC-Adresse.（地址解析为一个 IP 地址查找对应 MAC 地址。）
Adressbereich,地址范围,Ein Adressbereich beschreibt eine zusammenhängende Menge von Adressen.（地址范围描述一组连续地址。）
Adresse,地址,Eine Adresse identifiziert ein Ziel im Kommunikationssystem.（地址用于标识通信系统中的目标对象。）
Adressierung,寻址,Adressierung ist notwendig damit Daten ihr Ziel im Netz erreichen.（寻址是数据在网络中到达目标的前提。）
AIMD,加性增乘性减,AIMD erhöht die Senderate vorsichtig und senkt sie bei Verlust deutlich.（AIMD 在正常时缓慢增大发送速率，丢包时显著降低速率。）
Aloha,ALOHA 随机接入协议,Aloha ist ein einfaches Verfahren für den gemeinsamen Zugriff auf ein Medium.（ALOHA 是多个节点共享介质时的一种简单随机接入协议。）
Anforderung,要求/需求,Anforderungen an ein Netz betreffen Zuverlässigkeit Durchsatz und Skalierbarkeit.（网络需求涉及可靠性、吞吐量和可扩展性。）
Anfrage-Antwort-Dialog,请求-响应对话,HTTP folgt häufig einem Anfrage-Antwort-Dialog.（HTTP 常采用请求-响应对话模式。）
Anwendungsschicht,应用层,Die Anwendungsschicht stellt Dienste für Programme wie HTTP bereit.（应用层为 HTTP 等应用程序提供网络服务。）
API,应用程序接口,Eine API definiert wie Programme einen Dienst nutzen können.（API 定义程序如何使用某个服务。）
ARP,地址解析协议,ARP bildet IP-Adressen auf MAC-Adressen in einem LAN ab.（ARP 在局域网中把 IP 地址映射到 MAC 地址。）
ARP Table,ARP 表,Die ARP Table speichert Zuordnungen von IP-Adressen zu MAC-Adressen.（ARP 表保存 IP 地址到 MAC 地址的映射。）
ARP-Anfrage,ARP 请求,Eine ARP-Anfrage wird als Broadcast an alle Peers im LAN gesendet.（ARP 请求以广播方式发送给局域网内所有对等节点。）
ARPANET,阿帕网/早期互联网,ARPANET war ein wichtiger Vorläufer des heutigen Internets.（ARPANET 是现代互联网的重要前身。）
ASCII,美国信息交换标准代码,ASCII codiert Zeichen als Zahlenwerte.（ASCII 把字符编码为数值。）
ASCII-Kodierung,ASCII 编码,ASCII-Kodierung wird in Aufgaben zur Byte-Darstellung verwendet.（ASCII 编码常用于字节表示相关练习。）
ASN,自治系统号,Eine ASN identifiziert ein autonomes System im globalen Routing.（ASN 在全局路由中标识一个自治系统。）
Aufbau,结构/建立过程,Der Aufbau eines Ethernet-Rahmens enthält Präambel Adressen Typ und Prüfsumme.（以太网帧结构包含前导码、地址、类型和校验和。）
Ausbreitungsverzögerung,传播时延,Ausbreitungsverzögerung hängt von Entfernung und Ausbreitungsgeschwindigkeit ab.（传播时延取决于距离和传播速度。）
Autonomes System,自治系统,Ein autonomes System verwaltet Routing unter einer gemeinsamen administrativen Kontrolle.（自治系统在同一管理域内维护路由。）
Backoff,退避,Backoff verzögert eine erneute Übertragung nach einer Kollision.（退避机制在冲突后延迟再次发送。）
Bandbreite,带宽,Die Bandbreite begrenzt die maximal mögliche Datenrate einer Verbindung.（带宽限制一条连接可达到的最大数据率。）
Baudrate,波特率,Die Baudrate beschreibt die Anzahl der Signalzustandswechsel pro Sekunde.（波特率描述每秒信号状态变化的次数。）
BCC,块校验字符,BCC ist ein einfaches Verfahren zur Fehlererkennung.（BCC 是一种简单的错误检测方法。）
BDP,带宽时延积,BDP beschreibt wie viele Daten gleichzeitig im Netz unterwegs sein können.（带宽时延积描述网络中可同时在途的数据量。）
Begegnung,应对/处理,Maßnahmen zur Begegnung von IPv4-Adressknappheit sind NAT CIDR und IPv6.（应对 IPv4 地址短缺的措施包括 NAT、CIDR 和 IPv6。）
Begründen,说明理由/论证,Begründen Sie die Wahl eines Routingverfahrens anhand der Anforderungen.（请根据需求说明选择某种路由方法的理由。）
Bellman-Ford,Bellman-Ford 算法,Bellman-Ford ist eine Grundlage für Distance-Vector-Routing.（Bellman-Ford 是距离向量路由的基础算法。）
BER,比特错误率,BER misst die Wahrscheinlichkeit fehlerhaft übertragener Bits.（BER 衡量比特传输错误的概率。）
Berechnen,计算,Berechnen Sie den Round Trip Delay aus den beobachteten Paketen.（请根据观察到的分组计算往返时延。）
Best Effort,尽力而为,IP arbeitet nach dem Best-Effort-Prinzip ohne Zustellgarantie.（IP 采用尽力而为原则，不保证一定送达。）
Bestimmen,确定/求出,Bestimmen Sie die passende Subnetzmaske für den gegebenen Adressbereich.（请确定给定地址范围的合适子网掩码。）
Bestätigung,确认,Eine Bestätigung informiert den Sender über erfolgreich empfangene Daten.（确认消息告知发送方哪些数据已成功接收。）
Bewertung,评价/评估,Die Bewertung eines Protokolls betrachtet Effizienz Zuverlässigkeit und Overhead.（协议评估会考察效率、可靠性和开销。）
big-endian,大端序,Bei big-endian steht das höchstwertige Byte zuerst.（大端序中最高有效字节在前。）
Binary Exponential Backoff,二进制指数退避,Binary Exponential Backoff vergrößert das Wartefenster nach wiederholten Kollisionen.（二进制指数退避会在多次冲突后扩大等待窗口。）
Binärsystem,二进制系统,Das Binärsystem verwendet nur die Ziffern 0 und 1.（二进制系统只使用 0 和 1。）
Bit-Zeit,比特时间,Eine Bit-Zeit ist die Dauer zur Übertragung eines einzelnen Bits.（比特时间是传输一个比特所需的时间。）
Bitfehlerrate,比特错误率,Die Bitfehlerrate beschreibt den Anteil fehlerhaft übertragener Bits.（比特错误率表示传输错误的比特比例。）
Bitrate,比特率,Die Bitrate gibt die pro Sekunde übertragenen Bits an.（比特率表示每秒传输的比特数。）
Bitübertragung,比特传输,Die Bitübertragung beschreibt die physische Übertragung einzelner Bits.（比特传输描述单个比特在物理介质上的传送。）
Block,块,Ein Block kann mehrere kleinere Dateneinheiten zusammenfassen.（块可以把多个较小的数据单元组合起来。）
Bottleneck,瓶颈,Der Bottleneck bestimmt oft den Ende-zu-Ende-Durchsatz.（瓶颈链路通常决定端到端吞吐量。）
Broadcast,广播,Broadcast sendet einen Rahmen an alle Stationen im lokalen Netz.（广播把帧发送给本地网络中的所有站点。）
Broadcast-Adresse,广播地址,Eine Broadcast-Adresse adressiert alle Hosts in einem lokalen Netz.（广播地址用于寻址本地网络中的所有主机。）
Broadcast-Domäne,广播域,Eine Broadcast-Domäne umfasst alle Geräte die Broadcast-Rahmen empfangen.（广播域包含所有能收到广播帧的设备。）
BSD Sockets,BSD 套接字,BSD Sockets prägten die Programmierschnittstelle für TCP/IP-Kommunikation.（BSD 套接字奠定了 TCP/IP 通信编程接口。）
Byte-Strom,字节流,TCP behandelt Nutzdaten als geordneten Byte-Strom.（TCP 把用户数据视为有序字节流。）
Carrier Sensing,载波侦听,Carrier Sensing prüft vor dem Senden ob das Medium frei ist.（载波侦听在发送前检查介质是否空闲。）
CAT5,五类双绞线,CAT5 beschreibt eine Kabelkategorie für Ethernet-Verkabelung.（CAT5 表示以太网布线中的五类线缆类别。）
CDMA,码分多址,CDMA trennt Nutzer durch unterschiedliche Codes auf demselben Medium.（CDMA 通过不同编码在同一介质上区分用户。）
CERN,欧洲核子研究中心,Am CERN entstand das World Wide Web.（万维网诞生于 CERN。）
Checkbits,校验位,Checkbits werden zusätzlich zu Nutzdaten übertragen.（校验位随用户数据一起额外传输。）
Checksum,校验和,Die Checksum erkennt Übertragungsfehler in Headern oder Nutzdaten.（校验和用于检测头部或用户数据中的传输错误。）
CIDR,无类别域间路由,CIDR verwendet Präfixlängen statt fester Adressklassen.（CIDR 使用前缀长度，而不是固定地址类别。）
Classful Network,有类别网络,Classful Networks teilen IPv4-Adressen in feste Klassen ein.（有类别网络把 IPv4 地址划分为固定类别。）
Client,客户端,Ein Client initiiert typischerweise die Kommunikation mit einem Server.（客户端通常主动发起与服务器的通信。）
Client-Server,客户端-服务器模型,Im Client-Server-Modell wartet der Server auf Anfragen von Clients.（在客户端-服务器模型中，服务器等待客户端请求。）
CLS,关闭连接控制消息,CLS kann in einem abstrakten Protokoll die Verbindungsfreigabe markieren.（CLS 可在抽象协议中表示释放连接。）
Code-Matrix,编码矩阵,Eine Code-Matrix kann gültige und ungültige Codewörter darstellen.（编码矩阵可表示有效和无效码字。）
Codewort,码字,Ein Codewort ist eine gültige codierte Darstellung von Daten.（码字是数据的一种有效编码表示。）
Codewörter,码字集合,Codewörter mit größerem Hammingabstand erlauben bessere Fehlererkennung.（汉明距离更大的码字集合有更好的错误检测能力。）
Codierung,编码,Codierung bildet Daten auf eine übertragbare Darstellung ab.（编码把数据映射为可传输的表示形式。）
Collision Avoidance,冲突避免,Collision Avoidance versucht Kollisionen vor dem Senden zu vermeiden.（冲突避免试图在发送前避免冲突。）
Collision Detection,冲突检测,Collision Detection erkennt eine Kollision während einer laufenden Übertragung.（冲突检测在传输过程中发现冲突。）
Congestion Avoidance,拥塞避免,Congestion Avoidance erhöht CongWin meist linear.（拥塞避免阶段通常线性增加拥塞窗口。）
Congestion Control,拥塞控制,Congestion Control schützt das Netz vor Überlastung durch zu viele Segmente.（拥塞控制防止过多报文段使网络过载。）
Congestion-Avoidance-Phase,拥塞避免阶段,In der Congestion-Avoidance-Phase wächst das Fenster langsamer.（拥塞避免阶段窗口增长更慢。）
CongWin,拥塞窗口,CongWin begrenzt die Menge unbestätigter Daten im Netz.（拥塞窗口限制网络中尚未确认的数据量。）
CORBA,公共对象请求代理体系结构,CORBA ist ein Beispiel für Middleware in verteilten Systemen.（CORBA 是分布式系统中间件的一个例子。）
Core Router,核心路由器,Ein Core Router verarbeitet Verkehr im Kern eines großen Netzes.（核心路由器处理大型网络核心中的流量。）
CPU,中央处理器,CPU-Leistung kann die Verarbeitung von Paketen beeinflussen.（CPU 性能会影响分组处理能力。）
CRC,循环冗余校验,CRC erkennt viele typische Übertragungsfehler in Rahmen.（CRC 能检测帧中的许多典型传输错误。）
CRC-32,32 位循环冗余校验,CRC-32 ist eine häufig verwendete CRC-Variante mit 32 Prüfbits.（CRC-32 是常用的 32 位 CRC 校验形式。）
CSMA,载波侦听多路访问,CSMA erlaubt Stationen nach Prüfung des Mediums zu senden.（CSMA 允许站点在检查介质后发送。）
CSMA/CD,载波侦听多路访问/冲突检测,CSMA/CD erkennt Kollisionen während der Übertragung.（CSMA/CD 在传输过程中检测冲突。）
CTS,允许发送,CTS bestätigt bei MACA dass der Sender übertragen darf.（CTS 在 MACA 中确认发送方可以发送。）
CTS-Paket,允许发送分组,Ein CTS-Paket erlaubt nach einem RTS die Datenübertragung.（CTS 分组在 RTS 后允许进行数据传输。）
Darstellung,表示/表达形式,Die Darstellung einer Adresse kann binär dezimal oder hexadezimal erfolgen.（地址可以用二进制、十进制或十六进制表示。）
Darstellungsschicht,表示层,Die Darstellungsschicht kümmert sich um Kodierung und Datenformate.（表示层负责编码和数据格式。）
Data Circuit,数据电路,Ein Data Circuit beschreibt im OSI-Kontext eine Datenverbindung.（Data Circuit 在 OSI 语境中描述数据连接。）
Data Link Layer,数据链路层,Der Data Link Layer kümmert sich um Frames auf einer direkten Verbindung.（数据链路层处理直连链路上的帧。）
Data Unit,数据单元,Data Unit ist ein Oberbegriff für strukturierte Daten in Schichtenmodellen.（数据单元是分层模型中结构化数据的统称。）
Datagram Socket,数据报套接字,Ein Datagram Socket wird häufig für UDP-Kommunikation verwendet.（数据报套接字常用于 UDP 通信。）
Datagramm,数据报,Ein Datagramm wird unabhängig von anderen Datagrammen übertragen.（数据报作为独立单元进行传输。）
Dateneinheit,数据单元,Eine Dateneinheit wird je nach Schicht unterschiedlich benannt.（数据单元在不同层有不同名称。）
